,Area.of.residence,Area.of.workplace,All.categories..Method.of.travel.to.work,Work.mainly.at.or.from.home,Underground..metro..light.rail..tram,Train,Bus..minibus.or.coach,Taxi,Motorcycle..scooter.or.moped,Driving.a.car.or.van,Passenger.in.a.car.or.van,Bicycle,On.foot,Other.method.of.travel.to.work,dist,p_cycle,pc,ecp,lon_origin,lat_origin,lon_dest,lat_dest,fastest_time,fastest_distance,quietest_time,quietest_distance
910583,E02002330,E02002358,12,0,1,0,0,0,0,10,1,0,0,0,11092.3185623082,0.0326328276,0.3915939308,0.3915939308,-1.400577159,53.9291452967,-1.4598015075,53.8357920354,,,,
910584,E02002330,E02002359,10,0,0,0,0,0,0,9,1,0,0,0,11129.0730670893,0.0323938264,0.3239382639,0.3239382639,-1.400577159,53.9291452967,-1.3697425356,53.8308039574,,,,
910585,E02002330,E02002360,2,0,0,0,1,0,0,1,0,0,0,0,15077.048639604,0.0147077232,0.0294154465,0.0294154465,-1.400577159,53.9291452967,-1.5647986011,53.834548605,,,,
910586,E02002330,E02002361,14,0,0,0,0,0,0,14,0,0,0,0,13404.6023690578,0.0205500218,0.2877003049,0.2877003049,-1.400577159,53.9291452967,-1.5143714712,53.8291749544,,,,
910587,E02002330,E02002362,2,0,0,1,0,0,0,1,0,0,0,0,17762.9782133337,0.0085950532,0.0171901065,0.0171901065,-1.400577159,53.9291452967,-1.6131811509,53.8306166402,,,,
910588,E02002330,E02002363,8,0,0,0,0,0,0,7,1,0,0,0,14229.5745039905,0.0174243312,0.1393946495,0.1393946495,-1.400577159,53.9291452967,-1.5348689623,53.828844426,,,,
910589,E02002330,E02002364,6,0,0,0,0,0,0,6,0,0,0,0,12188.5990440705,0.0262079465,0.1572476789,0.1572476789,-1.400577159,53.9291452967,-1.4664255759,53.8267392129,,,,
910590,E02002330,E02002366,7,0,0,0,0,0,0,7,0,0,0,0,12917.5980176801,0.0226523335,0.1585663345,0.1585663345,-1.400577159,53.9291452967,-1.4940384943,53.827020389,,,,
910591,E02002330,E02002367,2,0,0,0,0,0,0,2,0,0,0,0,15462.343453441,0.0136169288,0.0272338576,0.0272338576,-1.400577159,53.9291452967,-1.5512470911,53.822437902,,,,
910592,E02002330,E02002371,6,0,0,0,0,0,0,5,0,0,1,0,14923.9434465399,0.0151650553,0.0909903316,0.0909903316,-1.400577159,53.9291452967,-1.530848943,53.8193025853,,,,
910593,E02002330,E02002373,4,0,0,0,0,0,0,4,0,0,0,0,17115.4222123141,0.0097835072,0.0391340289,0.0391340289,-1.400577159,53.9291452967,-1.5813803838,53.8184752721,,,,
910594,E02002330,E02002374,3,0,0,0,1,0,0,2,0,0,0,0,17964.5408571966,0.0082554559,0.0247663677,0.0247663677,-1.400577159,53.9291452967,-1.5978264373,53.8174200785,,,,
910595,E02002330,E02002375,1,0,0,0,0,0,0,1,0,0,0,0,19175.0317822151,0.0064803603,0.0064803603,0.0064803603,-1.400577159,53.9291452967,-1.6270046147,53.8205240553,,,,
910596,E02002330,E02002376,3,0,0,0,0,0,0,3,0,0,0,0,14254.5550631429,0.0173374944,0.0520124832,0.0520124832,-1.400577159,53.9291452967,-1.5006442299,53.815492733,,,,
910597,E02002330,E02002377,2,0,0,0,0,0,0,1,1,0,0,0,14876.986935758,0.0153081457,0.0306162915,0.0306162915,-1.400577159,53.9291452967,-1.5194226834,53.8153651938,,,,
910598,E02002330,E02002379,7,0,0,0,0,0,0,7,0,0,0,0,13438.3668758425,0.020411717,0.1428820191,0.1428820191,-1.400577159,53.9291452967,-1.4640100536,53.814328863,,,,
910599,E02002330,E02002380,1,0,0,0,0,0,0,1,0,0,0,0,20272.4180480889,0.0052033303,0.0052033303,0.0052033303,-1.400577159,53.9291452967,-1.6413464562,53.8153341658,,,,
910600,E02002330,E02002381,2,0,0,0,0,0,0,2,0,0,0,0,20831.8374433257,0.0046525478,0.0093050956,0.0093050956,-1.400577159,53.9291452967,-1.6550978034,53.8176424986,,,,
910601,E02002330,E02002382,2,0,0,0,0,0,0,2,0,0,0,0,15052.6665347954,0.0147796195,0.0295592389,0.0295592389,-1.400577159,53.9291452967,-1.5121470392,53.8110109367,,,,
910602,E02002330,E02002383,1,0,0,0,0,0,0,1,0,0,0,0,17277.0896869713,0.0094722317,0.0094722317,0.0094722317,-1.400577159,53.9291452967,-1.5711081108,53.8110117037,,,,
910603,E02002330,E02002384,16,0,0,0,1,0,0,11,3,1,0,0,16343.3735277132,0.0114170491,0.1826727848,-0.8173272152,-1.400577159,53.9291452967,-1.5450850219,53.8096337814,,,,
910604,E02002330,E02002385,3,0,0,0,0,0,0,2,0,0,1,0,18028.2432530102,0.0081509446,0.0244528338,0.0244528338,-1.400577159,53.9291452967,-1.5824764839,53.8079116016,,,,
910605,E02002330,E02002386,11,0,0,0,0,0,1,9,1,0,0,0,13613.4833669714,0.0197092053,0.2168012584,0.2168012584,-1.400577159,53.9291452967,-1.4237982697,53.8075625094,,,,
910606,E02002330,E02002387,4,0,0,0,0,0,0,4,0,0,0,0,20436.0226337087,0.0050358279,0.0201433117,0.0201433117,-1.400577159,53.9291452967,-1.6352400439,53.808721822,,,,
910607,E02002330,E02002388,2,0,0,0,0,0,0,2,0,0,0,0,19216.0704391391,0.006427389,0.012854778,0.012854778,-1.400577159,53.9291452967,-1.6102509195,53.8088425684,,,,
910608,E02002330,E02002389,1,0,0,0,0,0,0,1,0,0,0,0,14689.3108146545,0.0158936604,0.0158936604,0.0158936604,-1.400577159,53.9291452967,-1.4912905295,53.8084967192,,,,
910609,E02002330,E02002390,6,0,0,0,0,0,0,6,0,0,0,0,14398.1341562729,0.0168467143,0.1010802861,0.1010802861,-1.400577159,53.9291452967,-1.4693922426,53.8062954254,,,,
910610,E02002330,E02002391,4,0,0,0,0,0,0,2,0,0,2,0,22324.806598937,0.0034515422,0.0138061689,0.0138061689,-1.400577159,53.9291452967,-1.6682097793,53.8056954082,,,,
910611,E02002330,E02002392,37,0,0,2,1,1,0,28,2,0,3,0,17410.9245998028,0.0092220518,0.3412159179,0.3412159179,-1.400577159,53.9291452967,-1.5609149148,53.8046175701,,,,
910612,E02002330,E02002393,30,0,0,0,1,0,1,27,1,0,0,0,16060.837624652,0.0120807702,0.3624231064,0.3624231064,-1.400577159,53.9291452967,-1.523831007,53.804524144,,,,
910613,E02002330,E02002394,7,0,0,0,0,0,0,7,0,0,0,0,15751.1905875386,0.0128525773,0.0899680409,0.0899680409,-1.400577159,53.9291452967,-1.5096383515,53.8031039327,,,,
910614,E02002330,E02002395,2,0,0,0,0,0,0,2,0,0,0,0,23732.4868162156,0.0026046156,0.0052092312,0.0052092312,-1.400577159,53.9291452967,-1.6932426898,53.8043391989,,,,
910615,E02002330,E02002396,5,0,0,0,0,0,0,1,2,0,2,0,19858.943669706,0.0056519111,0.0282595556,0.0282595556,-1.400577159,53.9291452967,-1.611086847,53.8011739849,,,,
910616,E02002330,E02002397,1,0,0,0,0,0,0,1,0,0,0,0,21674.7195132066,0.0039307827,0.0039307827,0.0039307827,-1.400577159,53.9291452967,-1.646020275,53.7991338977,,,,
910617,E02002330,E02002398,3,0,0,0,0,0,0,3,0,0,0,0,16746.0205463325,0.0105336866,0.0316010597,0.0316010597,-1.400577159,53.9291452967,-1.460795059,53.7829085208,,,,
