"","ids","X.1","X","Area.of.residence","Area.of.workplace","All.categories..Method.of.travel.to.work","Work.mainly.at.or.from.home","Underground..metro..light.rail..tram","Train","Bus..minibus.or.coach","Taxi","Motorcycle..scooter.or.moped","Driving.a.car.or.van","Passenger.in.a.car.or.van","Bicycle","On.foot","Other.method.of.travel.to.work","dist","p_cycle","pc","ecp","lon_origin","lat_origin","lon_dest","lat_dest","fastest_time_in_s","fastest_distance_in_m","quietest_time_in_s","quietest_distance_in_m"
"2",1,2,910558,"E02002330","E02002331",742,0,0,1,5,1,1,426,51,38,218,1,3549.2208781699,0.1475162441,109.4570531019,71.4570531019,-1.400577159,53.9291452967,-1.347653388,53.9226868903,883,4202,938,4553
"5",4,5,910561,"E02002330","E02002334",50,0,0,0,3,1,0,43,0,1,2,0,5900.5717908591,0.0921730802,4.6086540116,3.6086540116,-1.400577159,53.9291452967,-1.3576524285,53.8825638629,1776,7142,2050,8264
"6",5,6,910562,"E02002330","E02002335",23,0,0,0,0,0,0,20,1,0,2,0,6232.9027146385,0.0862458494,1.9836545359,1.9836545359,-1.400577159,53.9291452967,-1.4710718403,53.8916514302,1887,7395,1887,7395
"96",95,96,910909,"E02002331","E02002330",36,0,0,0,1,0,0,14,2,0,19,0,3549.2208781699,0.1475162441,5.3105847866,5.3105847866,-1.347653388,53.9226868903,-1.400577159,53.9291452967,907,4202,962,4553
"99",98,99,910912,"E02002331","E02002334",92,0,0,0,8,0,0,61,3,1,19,0,4512.5545051695,0.1216650252,11.1931823218,10.1931823218,-1.347653388,53.9226868903,-1.3576524285,53.8825638629,1298,5548,1298,5548
"177",176,177,911224,"E02002332","E02002333",509,0,0,1,24,4,5,237,41,8,188,1,1646.0840105227,0.2158461041,109.8656669673,101.8656669673,-1.7052666419,53.9113271892,-1.6876952052,53.9007791557,624,1994,625,2051
"180",179,180,911227,"E02002332","E02002336",118,0,0,0,10,1,1,83,12,2,9,0,6021.7600033697,0.0899658788,10.6159736982,8.6159736982,-1.7052666419,53.9113271892,-1.6243652108,53.8858954673,2303,7094,2623,7163
"181",180,181,911228,"E02002332","E02002337",25,0,0,0,5,0,0,17,2,1,0,0,4251.6498859021,0.1281821754,3.2045543853,2.2045543853,-1.7052666419,53.9113271892,-1.7433977723,53.8804538587,2194,6256,2354,6122
"182",181,182,911229,"E02002332","E02002338",37,0,0,0,0,0,0,34,3,0,0,0,4532.0084934568,0.121192571,4.4841251252,4.4841251252,-1.7052666419,53.9113271892,-1.7105896018,53.87071637,2001,6573,2034,6593
"183",182,183,911230,"E02002332","E02002339",29,0,0,0,5,0,0,21,2,1,0,0,4865.7617304928,0.1133669756,3.2876422928,2.2876422928,-1.7052666419,53.9113271892,-1.6941821605,53.8680881823,2401,7694,2589,7523
"184",183,184,911231,"E02002332","E02002340",13,0,0,0,1,0,0,10,1,0,1,0,5066.2207796583,0.1089117933,1.4158533127,1.4158533127,-1.7052666419,53.9113271892,-1.6785346758,53.8686194272,2446,7007,2872,8301
"186",185,186,911233,"E02002332","E02002342",2,0,0,0,1,0,0,1,0,0,0,0,7664.5982667333,0.0647713141,0.1295426281,0.1295426281,-1.7052666419,53.9113271892,-1.6224194963,53.8628501517,2841,8930,3128,9814
"187",186,187,911234,"E02002332","E02002343",10,0,0,0,1,0,0,8,1,0,0,0,6403.597421025,0.0833511987,0.8335119869,0.8335119869,-1.7052666419,53.9113271892,-1.6775621599,53.8561494482,2836,8587,3270,10196
"262",261,262,911513,"E02002333","E02002332",83,0,0,0,3,0,0,39,12,0,29,0,1646.0840105227,0.2158461041,17.9152266371,17.9152266371,-1.6876952052,53.9007791557,-1.7052666419,53.9113271892,493,1994,496,2014
"266",265,266,911517,"E02002333","E02002336",123,0,0,1,10,2,0,93,9,4,4,0,4478.9199364232,0.1224862143,15.0658043596,11.0658043596,-1.6876952052,53.9007791557,-1.6243652108,53.8858954673,1769,4999,1999,5112
"267",266,267,911518,"E02002333","E02002337",34,0,0,0,4,0,0,25,2,2,1,0,4303.0063477386,0.1268723173,4.3136587881,2.3136587881,-1.6876952052,53.9007791557,-1.7433977723,53.8804538587,1936,4912,1936,4912
"268",267,268,911519,"E02002333","E02002338",62,0,0,0,15,2,0,37,4,2,2,0,3667.9418765793,0.1440548456,8.9314004277,6.9314004277,-1.6876952052,53.9007791557,-1.7105896018,53.87071637,1616,5383,1616,5383
"269",268,269,911520,"E02002333","E02002339",40,0,0,0,6,0,0,31,3,0,0,0,3662.37157057,0.144215421,5.768616838,5.768616838,-1.6876952052,53.9007791557,-1.6941821605,53.8680881823,2016,6504,2171,6313
"270",269,270,911521,"E02002333","E02002340",23,0,0,0,1,0,0,21,1,0,0,0,3628.6879065075,0.1451902416,3.3393755562,3.3393755562,-1.6876952052,53.9007791557,-1.6785346758,53.8686194272,1823,5013,2304,5805
"272",271,272,911523,"E02002333","E02002342",6,0,0,0,0,0,0,6,0,0,0,0,6018.7029855923,0.0900209011,0.5401254065,0.5401254065,-1.6876952052,53.9007791557,-1.6224194963,53.8628501517,2218,6936,2504,7763
"273",272,273,911524,"E02002333","E02002343",26,0,0,0,4,0,2,17,1,2,0,0,5010.2226542898,0.1101384206,2.8635989356,0.8635989356,-1.6876952052,53.9007791557,-1.6775621599,53.8561494482,2213,6593,2852,8986
"276",275,276,911527,"E02002333","E02002346",8,0,0,0,1,0,0,6,0,1,0,0,7241.8377433222,0.0704860576,0.563888461,-0.436111539,-1.6876952052,53.9007791557,-1.6186437517,53.8500711391,2719,8480,3005,9307
"280",279,280,911531,"E02002333","E02002350",25,0,0,0,2,0,0,19,2,1,1,0,6571.554261499,0.0805978216,2.014945541,1.014945541,-1.6876952052,53.9007791557,-1.645681837,53.8471890098,2642,8716,3151,8814
"285",284,285,911536,"E02002333","E02002356",38,0,0,0,0,0,0,35,2,1,0,0,6904.8510419845,0.0754003763,2.865214301,1.865214301,-1.6876952052,53.9007791557,-1.6698365717,53.8396256342,2562,9271,3088,10879
"359",358,359,911831,"E02002334","E02002330",6,0,0,0,4,0,0,2,0,0,0,0,5900.5717908591,0.0921730802,0.5530384814,0.5530384814,-1.3576524285,53.8825638629,-1.400577159,53.9291452967,1716,7625,2180,9479
"360",359,360,911832,"E02002334","E02002331",491,0,0,0,29,1,2,375,48,20,15,1,4512.5545051695,0.1216650252,59.7375273915,39.7375273915,-1.3576524285,53.8825638629,-1.347653388,53.9226868903,1251,5548,1251,5548
"364",363,364,911836,"E02002334","E02002335",31,0,0,0,1,0,0,26,2,0,2,0,7523.9224439904,0.0666195439,2.0652058597,2.0652058597,-1.3576524285,53.8825638629,-1.4710718403,53.8916514302,2430,9696,2644,9285
"379",378,379,911851,"E02002334","E02002351",10,0,0,0,1,0,0,9,0,0,0,0,6895.1681424525,0.0755465367,0.7554653667,0.7554653667,-1.3576524285,53.8825638629,-1.4409663716,53.8449366971,2150,8041,2150,8041
"386",385,386,911858,"E02002334","E02002359",18,0,0,0,1,0,0,16,1,0,0,0,5814.2018967995,0.0937791074,1.6880239327,1.6880239327,-1.3576524285,53.8825638629,-1.3697425356,53.8308039574,2147,8549,2163,8608
"457",456,457,912240,"E02002335","E02002330",15,0,0,0,3,0,0,10,1,0,1,0,6232.9027146385,0.0862458494,1.2936877408,1.2936877408,-1.4710718403,53.8916514302,-1.400577159,53.9291452967,1710,7395,1710,7395
"461",460,461,912244,"E02002335","E02002334",44,0,0,0,1,0,0,39,3,0,1,0,7523.9224439904,0.0666195439,2.9312599299,2.9312599299,-1.4710718403,53.8916514302,-1.3576524285,53.8825638629,2265,9696,2483,9285
"468",467,468,912251,"E02002335","E02002341",17,0,0,0,0,0,0,15,1,1,0,0,6053.4697231202,0.0893971256,1.519751136,0.519751136,-1.4710718403,53.8916514302,-1.5553319814,53.869697221,3014,10973,3260,11481
"471",470,471,912254,"E02002335","E02002344",15,0,0,0,0,0,0,15,0,0,0,0,5490.838825134,0.1000444622,1.5006669337,1.5006669337,-1.4710718403,53.8916514302,-1.5253058419,53.8541243112,2479,9062,2759,9434
"474",473,474,912257,"E02002335","E02002347",9,0,0,0,0,0,0,9,0,0,0,0,7110.2173225089,0.0723661762,0.6512955855,0.6512955855,-1.4710718403,53.8916514302,-1.5519706135,53.8492478781,2943,11144,3508,12452
"476",475,476,912259,"E02002335","E02002349",17,0,0,0,0,0,0,16,0,0,0,1,5652.3919215054,0.0968636278,1.6466816726,1.6466816726,-1.4710718403,53.8916514302,-1.4977270094,53.8433559571,2454,8822,2723,9132
"478",477,478,912261,"E02002335","E02002351",9,0,0,0,0,0,0,9,0,0,0,0,5562.8053605702,0.098614805,0.8875332451,0.8875332451,-1.4710718403,53.8916514302,-1.4409663716,53.8449366971,2429,9161,2647,8750
"479",478,479,912262,"E02002335","E02002352",30,0,0,0,1,0,0,27,0,0,2,0,6827.2653285074,0.0765794994,2.2973849817,2.2973849817,-1.4710718403,53.8916514302,-1.5316182735,53.8418058636,2684,10160,3093,11173
"480",479,480,912263,"E02002335","E02002353",11,0,0,0,0,0,0,11,0,0,0,0,6476.9068841891,0.0821380278,0.9035183056,0.9035183056,-1.4710718403,53.8916514302,-1.5182369926,53.84054915,2763,10736,3017,10360
"481",480,481,912264,"E02002335","E02002354",12,0,0,0,0,0,0,12,0,0,0,0,7727.7177348285,0.0639587873,0.7675054477,0.7675054477,-1.4710718403,53.8916514302,-1.5485327985,53.8394232219,2914,11298,3335,12355
"484",483,484,912267,"E02002335","E02002358",24,0,0,0,1,0,0,21,0,0,2,0,6259.5845840366,0.0857868351,2.0588840428,2.0588840428,-1.4710718403,53.8916514302,-1.4598015075,53.8357920354,2431,8779,2584,8621
"487",486,487,912270,"E02002335","E02002361",22,0,0,0,1,0,0,20,1,0,0,0,7512.1986599663,0.0667759338,1.4690705428,1.4690705428,-1.4710718403,53.8916514302,-1.5143714712,53.8291749544,2954,11141,3260,11654
"490",489,490,912273,"E02002335","E02002364",20,0,0,0,1,0,0,17,1,0,1,0,7229.1928481578,0.070664541,1.4132908195,1.4132908195,-1.4710718403,53.8916514302,-1.4664255759,53.8267392129,2713,10292,2944,10399
"491",490,491,912274,"E02002335","E02002366",7,0,0,0,0,0,0,6,1,0,0,0,7348.2634007457,0.069001607,0.4830112492,0.4830112492,-1.4710718403,53.8916514302,-1.4940384943,53.827020389,3014,11581,3419,11757
"494",493,494,912277,"E02002335","E02002369",3,0,0,0,0,0,0,3,0,0,0,0,7951.2380113475,0.0611625377,0.183487613,0.183487613,-1.4710718403,53.8916514302,-1.479266593,53.820355325,2859,11090,3104,11426
"495",494,495,912278,"E02002335","E02002370",1,0,0,0,0,0,0,1,0,0,0,0,7999.1426718486,0.0605793418,0.0605793418,0.0605793418,-1.4710718403,53.8916514302,-1.4421484083,53.8218248926,2846,11269,3040,10830
"558",557,558,912635,"E02002336","E02002332",15,0,0,0,1,0,0,10,2,1,1,0,6021.7600033697,0.0899658788,1.349488182,0.349488182,-1.6243652108,53.8858954673,-1.7052666419,53.9113271892,1407,7074,1616,7013
"559",558,559,912636,"E02002336","E02002333",97,0,0,0,11,0,1,65,11,2,7,0,4478.9199364232,0.1224862143,11.8811627876,9.8811627876,-1.6243652108,53.8858954673,-1.6876952052,53.9007791557,1027,5406,1121,4999
"563",562,563,912640,"E02002336","E02002337",6,0,0,0,2,0,0,3,1,0,0,0,7847.4505501709,0.0624453869,0.3746723212,0.3746723212,-1.6243652108,53.8858954673,-1.7433977723,53.8804538587,2560,9283,2560,9283
"564",563,564,912641,"E02002336","E02002338",24,0,0,0,1,0,0,21,1,0,1,0,5914.3647560282,0.0919191626,2.2060599025,2.2060599025,-1.6243652108,53.8858954673,-1.7105896018,53.87071637,1753,7665,1825,7928
"565",564,565,912642,"E02002336","E02002339",35,0,0,1,2,0,0,28,4,0,0,0,4998.9970178438,0.1103859732,3.8635090607,3.8635090607,-1.6243652108,53.8858954673,-1.6941821605,53.8680881823,1538,6506,2098,8760
"566",565,566,912643,"E02002336","E02002340",21,0,0,0,0,0,0,16,3,0,2,0,4046.5529009542,0.1335494598,2.8045386554,2.8045386554,-1.6243652108,53.8858954673,-1.6785346758,53.8686194272,1424,5800,1571,6442
"567",566,567,912644,"E02002336","E02002341",19,0,0,0,1,0,1,15,1,0,1,0,4883.9809493352,0.1129546358,2.1461380797,2.1461380797,-1.6243652108,53.8858954673,-1.5553319814,53.869697221,1548,6947,1544,6903
"568",567,568,912645,"E02002336","E02002342",6,0,0,0,0,0,0,6,0,0,0,0,2567.4350770218,0.1795215864,1.0771295185,1.0771295185,-1.6243652108,53.8858954673,-1.6224194963,53.8628501517,587,2961,587,2961
"569",568,569,912646,"E02002336","E02002343",15,0,0,0,0,0,0,13,1,0,1,0,4815.1070306371,0.1145213271,1.7178199065,1.7178199065,-1.6243652108,53.8858954673,-1.6775621599,53.8561494482,1472,5860,2090,8098
"570",569,570,912647,"E02002336","E02002344",4,0,0,0,0,0,0,2,0,1,1,0,7411.6382417029,0.0681325332,0.2725301329,-0.7274698671,-1.6243652108,53.8858954673,-1.5253058419,53.8541243112,1909,8865,1905,8821
"571",570,571,912648,"E02002336","E02002345",28,0,0,0,1,0,0,25,1,0,1,0,3892.5411703808,0.1377271068,3.8563589911,3.8563589911,-1.6243652108,53.8858954673,-1.5896573219,53.8575607216,1067,5301,1171,5604
"572",571,572,912649,"E02002336","E02002346",7,0,0,0,0,0,0,5,1,1,0,0,4003.7671999492,0.1346971648,0.9428801533,-0.0571198467,-1.6243652108,53.8858954673,-1.6186437517,53.8500711391,1088,4505,1088,4505
"573",572,573,912650,"E02002336","E02002347",12,0,0,0,0,0,0,12,0,0,0,0,6268.6092038178,0.0856321361,1.0275856327,1.0275856327,-1.6243652108,53.8858954673,-1.5519706135,53.8492478781,1592,6924,1636,7006
"574",573,574,912651,"E02002336","E02002348",39,0,0,0,0,0,0,37,2,0,0,0,4611.1001716501,0.1192905889,4.6523329687,4.6523329687,-1.6243652108,53.8858954673,-1.604851375,53.8460916699,1192,5079,1192,5079
"576",575,576,912653,"E02002336","E02002350",24,0,0,0,1,0,1,21,1,0,0,0,4528.9309531878,0.1212671889,2.910412534,2.910412534,-1.6243652108,53.8858954673,-1.645681837,53.8471890098,1794,6225,1779,6286
"578",577,578,912655,"E02002336","E02002352",12,0,0,0,0,0,0,12,0,0,0,0,7827.9317440439,0.0626896352,0.7522756222,0.7522756222,-1.6243652108,53.8858954673,-1.5316182735,53.8418058636,2047,8782,2210,8955
"580",579,580,912657,"E02002336","E02002354",12,0,0,2,0,0,0,9,0,0,1,0,7184.3713388373,0.071300847,0.8556101641,0.8556101641,-1.6243652108,53.8858954673,-1.5485327985,53.8394232219,1920,8366,2083,8539
"581",580,581,912658,"E02002336","E02002356",30,0,0,0,1,0,0,28,0,1,0,0,5953.3038905544,0.0912060923,2.7361827694,1.7361827694,-1.6243652108,53.8858954673,-1.6698365717,53.8396256342,1821,8538,2295,9036
"582",581,582,912659,"E02002336","E02002357",22,0,0,0,0,0,0,20,1,1,0,0,5561.4921745313,0.0986407083,2.1700955832,1.1700955832,-1.6243652108,53.8858954673,-1.6291347025,53.835990229,1397,6331,1382,6392
"585",584,585,912662,"E02002336","E02002360",2,0,0,0,0,0,0,2,0,0,0,0,6927.7032522918,0.0750565496,0.1501130992,0.1501130992,-1.6243652108,53.8858954673,-1.5647986011,53.834548605,1683,7991,2050,8591
"587",586,587,912664,"E02002336","E02002362",16,0,0,0,0,1,0,15,0,0,0,0,6194.4738354081,0.0869112695,1.3905803122,1.3905803122,-1.6243652108,53.8858954673,-1.6131811509,53.8306166402,1648,7818,1649,7854
"592",591,592,912669,"E02002336","E02002368",8,0,0,0,0,0,0,7,1,0,0,0,7934.6201055077,0.0613661545,0.490929236,0.490929236,-1.6243652108,53.8858954673,-1.6852862057,53.8243425956,2653,10424,4066,13212
"596",595,596,912673,"E02002336","E02002374",8,0,0,0,0,0,0,8,0,0,0,0,7816.4151818435,0.0628341954,0.5026735633,0.5026735633,-1.6243652108,53.8858954673,-1.5978264373,53.8174200785,1759,8682,1734,8729
"600",599,600,912677,"E02002336","E02002381",6,0,0,0,0,0,0,5,1,0,0,0,7858.5024233933,0.0623075116,0.3738450696,0.3738450696,-1.6243652108,53.8858954673,-1.6550978034,53.8176424986,2392,9961,2408,10019
"649",648,649,912830,"E02002336","E02006852",45,0,0,0,2,0,0,39,4,0,0,0,6404.2278705279,0.0833406896,3.7503310322,3.7503310322,-1.6243652108,53.8858954673,-1.5867043323,53.832819017,1480,7513,1597,8008
"655",654,655,912979,"E02002337","E02002332",16,0,0,0,0,0,0,14,2,0,0,0,4251.6498859021,0.1281821754,2.0509148066,2.0509148066,-1.7433977723,53.8804538587,-1.7052666419,53.9113271892,1464,6102,1508,6171
"656",655,656,912980,"E02002337","E02002333",77,0,0,3,9,1,0,55,5,2,2,0,4303.0063477386,0.1268723173,9.7691684318,7.7691684318,-1.7433977723,53.8804538587,-1.6876952052,53.9007791557,1215,4912,1215,4912
"659",658,659,912983,"E02002337","E02002336",77,0,0,0,3,1,0,65,8,0,0,0,7847.4505501709,0.0624453869,4.8082947888,4.8082947888,-1.7433977723,53.8804538587,-1.6243652108,53.8858954673,2540,9283,2540,9283
"661",660,661,912985,"E02002337","E02002338",224,0,0,6,1,0,2,95,20,1,99,0,2413.9818884975,0.1851166371,41.4661266992,40.4661266992,-1.7433977723,53.8804538587,-1.7105896018,53.87071637,1043,4065,1199,4363
"662",661,662,912986,"E02002337","E02002339",94,0,0,0,1,4,0,63,6,0,20,0,3516.3468595724,0.1484893298,13.9579970051,13.9579970051,-1.7433977723,53.8804538587,-1.6941821605,53.8680881823,1444,5198,1662,5774
"663",662,663,912987,"E02002337","E02002340",37,0,0,0,1,0,0,29,3,2,1,1,4463.3867415429,0.1228673264,4.5460910781,2.5460910781,-1.7433977723,53.8804538587,-1.6785346758,53.8686194272,1850,6413,1945,6552
"666",665,666,912990,"E02002337","E02002343",49,0,0,2,0,1,0,41,3,0,2,0,5104.5447097893,0.1080801988,5.2959297395,5.2959297395,-1.7433977723,53.8804538587,-1.6775621599,53.8561494482,2013,6833,2435,7966
"673",672,673,912997,"E02002337","E02002350",23,0,0,0,0,0,0,21,2,0,0,0,7416.0620701811,0.0680722786,1.5656624068,1.5656624068,-1.7433977723,53.8804538587,-1.645681837,53.8471890098,2672,9801,2970,10496
"678",677,678,913002,"E02002337","E02002356",55,0,0,1,4,0,0,45,2,1,2,0,6636.9046701043,0.0795512558,4.3753190676,3.3753190676,-1.7433977723,53.8804538587,-1.6698365717,53.8396256342,2175,8699,2671,9859
"689",688,689,913013,"E02002337","E02002368",8,0,0,0,0,0,0,8,0,0,0,0,7320.7746421577,0.0693820054,0.5550560435,0.5550560435,-1.7433977723,53.8804538587,-1.6852862057,53.8243425956,3090,11712,4227,11690
"752",751,752,913314,"E02002338","E02002332",21,0,0,0,3,0,0,17,0,1,0,0,4532.0084934568,0.121192571,2.54504399,1.54504399,-1.7105896018,53.87071637,-1.7052666419,53.9113271892,1484,6573,1528,6642
"753",752,753,913315,"E02002338","E02002333",89,0,0,2,6,2,0,68,8,1,2,0,3667.9418765793,0.1440548456,12.8208812591,11.8208812591,-1.7105896018,53.87071637,-1.6876952052,53.9007791557,1235,5383,1235,5383
"756",755,756,913318,"E02002338","E02002336",106,0,0,1,6,3,1,77,9,5,4,0,5914.3647560282,0.0919191626,9.7434312361,4.7434312361,-1.7105896018,53.87071637,-1.6243652108,53.8858954673,2150,8022,2264,8344
"757",756,757,913319,"E02002338","E02002337",97,0,0,0,2,1,0,42,4,2,45,1,2413.9818884975,0.1851166371,17.9563137939,15.9563137939,-1.7105896018,53.87071637,-1.7433977723,53.8804538587,1371,4132,1520,4376
"759",758,759,913321,"E02002338","E02002339",163,0,0,1,10,2,1,77,7,4,61,0,1117.817095185,0.2398992529,39.1035782224,35.1035782224,-1.7105896018,53.87071637,-1.6941821605,53.8680881823,577,1828,620,2013
"760",759,760,913322,"E02002338","E02002340",43,0,0,0,1,0,0,32,4,2,4,0,2120.6641978874,0.1963010863,8.4409467104,6.4409467104,-1.7105896018,53.87071637,-1.6785346758,53.8686194272,1040,2869,1040,2869
"762",761,762,913324,"E02002338","E02002342",1,0,0,0,0,0,0,1,0,0,0,0,5863.8613844463,0.0928523129,0.0928523129,0.0928523129,-1.7105896018,53.87071637,-1.6224194963,53.8628501517,2489,9671,2700,8276
"763",762,763,913325,"E02002338","E02002343",69,0,0,1,2,0,0,53,6,2,5,0,2710.09704228,0.1744717899,12.0385535042,10.0385535042,-1.7105896018,53.87071637,-1.6775621599,53.8561494482,1122,3278,1287,3811
"766",765,766,913328,"E02002338","E02002346",6,0,0,0,1,0,0,5,0,0,0,0,6468.8622461852,0.0822702883,0.4936217298,0.4936217298,-1.7105896018,53.87071637,-1.6186437517,53.8500711391,2307,7780,2348,7875
"768",767,768,913330,"E02002338","E02002348",27,0,0,0,3,0,0,21,1,2,0,0,7475.0289012365,0.0672741926,1.816403199,-0.183596801,-1.7105896018,53.87071637,-1.604851375,53.8460916699,2560,9135,2601,9230
"770",769,770,913332,"E02002338","E02002350",22,0,0,0,2,0,0,17,2,0,1,0,5007.7964075436,0.1101918782,2.4242213196,2.4242213196,-1.7105896018,53.87071637,-1.645681837,53.8471890098,1781,6246,1822,6341
"775",774,775,913337,"E02002338","E02002356",69,0,0,1,4,0,0,53,1,5,5,0,4376.4335021082,0.1250227567,8.6265702115,3.6265702115,-1.7105896018,53.87071637,-1.6698365717,53.8396256342,1284,5144,1523,5704
"776",775,776,913338,"E02002338","E02002357",20,0,0,0,5,0,0,12,1,1,1,0,6605.9713612465,0.080044938,1.6008987607,0.6008987607,-1.7105896018,53.87071637,-1.6291347025,53.835990229,1895,7569,2265,8093
"781",780,781,913343,"E02002338","E02002362",18,0,0,0,2,0,0,15,1,0,0,0,7808.3120273098,0.062936109,1.1328499623,1.1328499623,-1.7105896018,53.87071637,-1.6131811509,53.8306166402,2306,9147,2658,9531
"786",785,786,913348,"E02002338","E02002368",10,0,0,0,0,0,0,10,0,0,0,0,5421.5901580288,0.1014396908,1.0143969085,1.0143969085,-1.7105896018,53.87071637,-1.6852862057,53.8243425956,2204,7873,3079,7535
"791",790,791,913353,"E02002338","E02002375",4,0,0,0,0,0,0,4,0,0,0,0,7837.7379754073,0.0625668059,0.2502672234,0.2502672234,-1.7105896018,53.87071637,-1.6270046147,53.8205240553,2346,8894,3808,13798
"794",793,794,913356,"E02002338","E02002380",3,0,0,0,0,0,0,3,0,0,0,0,7663.3258205811,0.0647877998,0.1943633993,0.1943633993,-1.7105896018,53.87071637,-1.6413464562,53.8153341658,2483,9137,3702,12733
"795",794,795,913357,"E02002338","E02002381",2,0,0,1,0,0,0,1,0,0,0,0,6942.7503091983,0.0748310131,0.1496620262,0.1496620262,-1.7105896018,53.87071637,-1.6550978034,53.8176424986,2301,9238,3230,11454
"804",803,804,913366,"E02002338","E02002391",13,0,0,0,1,0,0,12,0,0,0,0,7753.241762051,0.0636331221,0.8272305871,0.8272305871,-1.7105896018,53.87071637,-1.6682097793,53.8056954082,2824,10776,3750,12563
"808",807,808,913370,"E02002338","E02002395",36,0,0,4,1,0,0,27,3,0,1,0,7472.9067070915,0.0673027524,2.4228990863,2.4228990863,-1.7105896018,53.87071637,-1.6932426898,53.8043391989,2929,10036,3804,9698
"846",845,846,913606,"E02002339","E02002332",17,0,0,0,2,0,0,12,3,0,0,0,4865.7617304928,0.1133669756,1.9272385855,1.9272385855,-1.6941821605,53.8680881823,-1.7052666419,53.9113271892,1740,7790,1884,8053
"847",846,847,913607,"E02002339","E02002333",65,0,0,0,10,0,0,43,7,2,3,0,3662.37157057,0.144215421,9.3740023618,7.3740023618,-1.6941821605,53.8680881823,-1.6876952052,53.9007791557,1491,6600,2046,5501
"849",848,849,913609,"E02002339","E02002336",147,0,0,0,5,7,0,103,15,3,14,0,4998.9970178438,0.1103859732,16.226738055,13.226738055,-1.6941821605,53.8680881823,-1.6243652108,53.8858954673,1874,7060,2362,8760
"850",849,850,913610,"E02002339","E02002337",48,0,0,0,8,2,1,17,5,0,15,0,3516.3468595724,0.1484893298,7.1274878324,7.1274878324,-1.6941821605,53.8680881823,-1.7433977723,53.8804538587,1627,5349,1876,5787
"851",850,851,913611,"E02002339","E02002338",149,0,1,0,7,0,1,63,16,4,57,0,1117.817095185,0.2398992529,35.7449886818,31.7449886818,-1.6941821605,53.8680881823,-1.7105896018,53.87071637,428,1727,463,1828
"853",852,853,913613,"E02002339","E02002340",62,0,0,1,2,1,0,32,6,0,20,0,1030.6339916896,0.244118967,15.1353759567,15.1353759567,-1.6941821605,53.8680881823,-1.6785346758,53.8686194272,628,1460,628,1460
"855",854,855,913615,"E02002339","E02002342",1,0,0,0,1,0,0,0,0,0,0,0,4755.2158959116,0.1159013381,0.1159013381,0.1159013381,-1.6941821605,53.8680881823,-1.6224194963,53.8628501517,2012,7060,2288,6867
"856",855,856,913616,"E02002339","E02002343",90,0,0,0,4,0,0,48,9,2,27,0,1720.208118908,0.2126698261,19.1402843497,17.1402843497,-1.6941821605,53.8680881823,-1.6775621599,53.8561494482,830,2473,822,2267
"858",857,858,913618,"E02002339","E02002345",5,0,0,0,0,0,0,5,0,0,0,0,6973.6314599482,0.0743702639,0.3718513193,0.3718513193,-1.6941821605,53.8680881823,-1.5896573219,53.8575607216,2561,9331,2677,9745
"859",858,859,913619,"E02002339","E02002346",4,0,0,0,0,0,0,4,0,0,0,0,5357.4984290026,0.1027483494,0.4109933975,0.4109933975,-1.6941821605,53.8680881823,-1.6186437517,53.8500711391,1985,6628,2101,7042
"861",860,861,913621,"E02002339","E02002348",25,0,0,0,1,0,0,21,1,1,1,0,6365.1455135261,0.0839946723,2.0998668078,1.0998668078,-1.6941821605,53.8680881823,-1.604851375,53.8460916699,2238,7983,2354,8397
"863",862,863,913623,"E02002339","E02002350",32,0,0,0,6,1,0,23,1,1,0,0,3947.6110629213,0.1362185065,4.3589922089,3.3589922089,-1.6941821605,53.8680881823,-1.645681837,53.8471890098,1459,5094,1575,5508
"868",867,868,913628,"E02002339","E02002356",51,0,0,1,3,0,0,38,3,1,5,0,3548.7678545437,0.1475296103,7.5240101277,6.5240101277,-1.6941821605,53.8680881823,-1.6698365717,53.8396256342,992,4339,1276,4871
"869",868,869,913629,"E02002339","E02002357",26,0,0,0,2,0,1,21,2,0,0,0,5573.5470658608,0.0984031742,2.5584825287,2.5584825287,-1.6941821605,53.8680881823,-1.6291347025,53.835990229,1603,6764,2018,7260
"873",872,873,913633,"E02002339","E02002362",23,0,0,0,2,0,0,20,1,0,0,0,6766.0376142649,0.0775230221,1.7830295087,1.7830295087,-1.6941821605,53.8680881823,-1.6131811509,53.8306166402,2014,8342,2411,8698
"878",877,878,913638,"E02002339","E02002368",7,0,0,0,1,0,0,6,0,0,0,0,4902.3219944452,0.1125410536,0.787787375,0.787787375,-1.6941821605,53.8680881823,-1.6852862057,53.8243425956,1912,7068,2752,6518
"883",882,883,913643,"E02002339","E02002375",1,0,0,0,0,0,0,1,0,0,0,0,6895.1289166117,0.0755471294,0.0755471294,0.0755471294,-1.6941821605,53.8680881823,-1.6270046147,53.8205240553,2054,8089,3481,12781
"886",885,886,913646,"E02002339","E02002380",3,0,0,0,0,0,0,3,0,0,0,0,6821.8329745437,0.076662746,0.229988238,0.229988238,-1.6941821605,53.8680881823,-1.6413464562,53.8153341658,2191,8332,3375,11716
"887",886,887,913647,"E02002339","E02002381",6,0,0,0,0,0,0,6,0,0,0,0,6173.8490241675,0.0872705156,0.5236230939,0.5236230939,-1.6941821605,53.8680881823,-1.6550978034,53.8176424986,2009,8433,2903,10437
